Bulgaria	67	5	2			65		9.6		"March 17, 2020, 15:15 GMT"
Vietnam	66	5			16	50		0.7		"March 17, 2020, 15:15 GMT"
Croatia	65	8			4	61		15.8		"March 17, 2020, 15:15 GMT"
Colombia	65	11			1	64		1.3		"March 17, 2020, 15:15 GMT"
Serbia	65	8			1	64	4	7.4		"March 17, 2020, 15:15 GMT"
South Africa	62					62		1		"March 17, 2020, 15:15 GMT"
Algeria	60		5	1	10	45		1.4		"March 17, 2020, 15:15 GMT"
Latvia	60	26			1	59		31.8		"March 17, 2020, 15:15 GMT"
Ecuador	58		2			56	2	3.3		"March 17, 2020, 15:15 GMT"
Brunei	56	2				56	1			"March 17, 2020, 15:15 GMT"
Albania	55	4	1			54	2	19.1		"March 17, 2020, 15:15 GMT"
Hungary	50	11	1		2	47		5.2		"March 17, 2020, 15:15 GMT"
Faeroe Islands	47	29				47				"March 17, 2020, 15:15 GMT"
Turkey	47					47		0.6		"March 17, 2020, 15:15 GMT"
Cyprus	46					46	1	38.1		"March 17, 2020, 15:15 GMT"
Sri Lanka	44	16			1	43		2.1		"March 17, 2020, 15:15 GMT"
Costa Rica	41					41	3	8		"March 17, 2020, 15:15 GMT"
Palestine	41	2				41		8		"March 17, 2020, 15:15 GMT"
Morocco	38	1	2	1	1	35	1	1		"March 17, 2020, 15:15 GMT"
Malta	38	8			2	36				"March 17, 2020, 15:15 GMT"
Belarus	36				3	33		3.8		"March 17, 2020, 15:15 GMT"
Jordan	35	6			1	34		3.4		"March 17, 2020, 15:15 GMT"
Georgia	34	1			1	33	1	8.5		"March 17, 2020, 15:15 GMT"
Cambodia	33	21			1	32		2		"March 17, 2020, 15:15 GMT"
Kazakhstan	33	23				33		1.8		"March 17, 2020, 15:15 GMT"
Venezuela	33	16				33		1.2		"March 17, 2020, 15:15 GMT"
Moldova	30	1			1	29	1	7.4		"March 17, 2020, 15:15 GMT"
Uruguay	29					29		8.3		"March 17, 2020, 15:15 GMT"
Azerbaijan	28	3	1		6	21		2.8		"March 17, 2020, 15:15 GMT"
Senegal	27				2	25		1.6		"March 17, 2020, 15:15 GMT"
Bosnia and Herzegovina	27	2			2	25		8.2		"March 17, 2020, 15:15 GMT"
North Macedonia	26	2			1	25	1	12.5		"March 17, 2020, 15:15 GMT"
Oman	24				12	12		4.7		"March 17, 2020, 15:15 GMT"
Tunisia	24				1	23	2	2		"March 17, 2020, 15:15 GMT"
Afghanistan	22	1			1	21		0.6		"March 17, 2020, 15:15 GMT"
Dominican Republic	21		1			20		1.9		"March 17, 2020, 15:15 GMT"
Lithuania	21	3			1	20	1	7.7		"March 17, 2020, 15:15 GMT"
Andorra	16	2			1	15				"March 17, 2020, 15:15 GMT"
Martinique	15		1			14				"March 17, 2020, 15:15 GMT"
Burkina Faso	15					15		0.7		"March 17, 2020, 15:15 GMT"
Macao	13	1			10	3				"March 17, 2020, 15:15 GMT"
Maldives	13					13				"March 17, 2020, 15:15 GMT"
New Zealand	12	4				12		2.5		"March 17, 2020, 15:15 GMT"
Jamaica	12				2	10		4.1		"March 17, 2020, 15:15 GMT"
Bolivia	11					11		0.9		"March 17, 2020, 15:15 GMT"
French Guiana	11					11				"March 17, 2020, 15:15 GMT"
Uzbekistan	11	3				11		0.3		"March 17, 2020, 15:15 GMT"
Bangladesh	10	2			3	7		0.1		"March 17, 2020, 15:15 GMT"
Cameroon	10	5				10		0.4		"March 17, 2020, 15:15 GMT"
Monaco	9					9				"March 17, 2020, 15:15 GMT"
Paraguay	9	1				9	1	1.3		"March 17, 2020, 15:15 GMT"
Réunion	9					9				"March 17, 2020, 15:15 GMT"
Guatemala	8		1			7		0.4		"March 17, 2020, 15:15 GMT"
Honduras	8	2				8		0.8		"March 17, 2020, 15:15 GMT"
Guyana	7		1			6				"March 17, 2020, 15:15 GMT"
Ukraine	7		1			6		0.2		"March 17, 2020, 15:15 GMT"
Liechtenstein	7					7				"March 17, 2020, 15:15 GMT"
Rwanda	7					7		0.5		"March 17, 2020, 15:15 GMT"
Channel Islands	6					6				"March 17, 2020, 15:15 GMT"
Ghana	6					6		0.2		"March 17, 2020, 15:15 GMT"
Guadeloupe	6					6				"March 17, 2020, 15:15 GMT"
Cuba	5	1				5		0.4		"March 17, 2020, 15:15 GMT"
Ethiopia	5					5				"March 17, 2020, 15:15 GMT"
Guam	5	2				5				"March 17, 2020, 15:15 GMT"
Mongolia	5	1				5		1.5		"March 17, 2020, 15:15 GMT"
Puerto Rico	5					5		1.7		"March 17, 2020, 15:15 GMT"
Trinidad and Tobago	5	1				5		3.6		"March 17, 2020, 15:15 GMT"
Ivory Coast	4					4		0.2		"March 17, 2020, 15:15 GMT"
Kenya	4	1				4		0.1		"March 17, 2020, 15:15 GMT"
Seychelles	4	1				4				"March 17, 2020, 15:15 GMT"
Nigeria	3	1			1	2				"March 17, 2020, 15:15 GMT"
Aruba	3	1				3				"March 17, 2020, 15:15 GMT"
Curaçao	3	1				3				"March 17, 2020, 15:15 GMT"
DRC	3					3				"March 17, 2020, 15:15 GMT"
French Polynesia	3					3				"March 17, 2020, 15:15 GMT"
Gibraltar	3				1	2				"March 17, 2020, 15:15 GMT"
St. Barth	3					3				"March 17, 2020, 15:15 GMT"
Barbados	2	2				2				"March 17, 2020, 15:15 GMT"
Liberia	2	1				2		0.4		"March 17, 2020, 15:15 GMT"
Namibia	2					2		0.8		"March 17, 2020, 15:15 GMT"
Saint Lucia	2					2				"March 17, 2020, 15:15 GMT"
Saint Martin	2					2				"March 17, 2020, 15:15 GMT"
U.S. Virgin Islands	2	1				2				"March 17, 2020, 15:15 GMT"
Cayman Islands	1		1			0				"March 17, 2020, 15:15 GMT"
Sudan	1		1			0				"March 17, 2020, 15:15 GMT"
Nepal	1				1	0				"March 17, 2020, 15:15 GMT"
Antigua and Barbuda	1					1				"March 17, 2020, 15:15 GMT"
Bahamas	1					1				"March 17, 2020, 15:15 GMT"
Benin	1					1		0.1		"March 17, 2020, 15:15 GMT"
Bhutan	1					1				"March 17, 2020, 15:15 GMT"
CAR	1					1		0.2		"March 17, 2020, 15:15 GMT"
Congo	1					1		0.2		"March 17, 2020, 15:15 GMT"
Equatorial Guinea	1					1		0.7		"March 17, 2020, 15:15 GMT"
Gabon	1					1		0.4		"March 17, 2020, 15:15 GMT"
Greenland	1					1				"March 17, 2020, 15:15 GMT"
Guinea	1					1		0.1		"March 17, 2020, 15:15 GMT"
Vatican City	1					1				"March 17, 2020, 15:15 GMT"
Mauritania	1					1		0.2		"March 17, 2020, 15:15 GMT"
Mayotte	1					1				"March 17, 2020, 15:15 GMT"
St. Vincent Grenadines	1					1				"March 17, 2020, 15:15 GMT"
Somalia	1					1		0.1		"March 17, 2020, 15:15 GMT"
Suriname	1					1				"March 17, 2020, 15:15 GMT"
